iter	Passed	Remaining
150	294	1658
151	295	1651
152	296	1643
153	297	1636
154	298	1629
155	299	1623
156	301	1616
157	302	1610
158	303	1603
159	304	1596
160	304	1588
161	305	1582
162	306	1575
163	307	1568
164	308	1562
165	309	1556
166	310	1550
167	311	1544
168	312	1537
169	313	1531
170	314	1526
171	315	1521
172	317	1515
173	318	1510
174	319	1505
175	320	1499
176	321	1494
177	322	1488
178	323	1483
179	324	1477
180	325	1473
181	326	1468
182	327	1462
183	328	1457
184	329	1452
185	330	1447
186	331	1442
187	332	1437
188	333	1432
189	334	1427
190	335	1423
191	336	1417
192	338	1413
193	339	1408
194	340	1403
195	341	1399
196	342	1394
197	343	1389
198	344	1385
199	345	1380
200	346	1376
201	347	1371
202	348	1367
203	349	1362
204	350	1358
205	351	1354
206	352	1349
207	353	1345
208	354	1341
209	355	1337
210	356	1332
211	357	1328
212	358	1324
213	361	1327
214	362	1323
215	363	1319
216	365	1318
217	366	1314
218	367	1311
219	368	1307
220	369	1303
221	370	1299
222	371	1296
223	373	1292
224	374	1288
225	375	1284
226	376	1281
227	377	1277
228	378	1273
229	379	1269
230	380	1265
231	381	1262
232	382	1258
233	383	1254
234	384	1250
235	385	1246
236	386	1242
237	387	1239
238	387	1235
239	389	1232
240	390	1228
241	391	1225
242	392	1221
243	393	1218
244	394	1215
245	395	1212
246	396	1208
247	397	1205
248	398	1202
249	399	1199
250	400	1196
251	401	1192
252	402	1189
253	403	1186
254	404	1182
255	406	1180
256	407	1177
257	408	1175
258	409	1171
259	410	1168
260	411	1165
261	412	1162
262	413	1159
263	414	1156
264	415	1153
265	416	1149
266	417	1146
267	418	1143
268	419	1139
269	420	1136
270	421	1133
271	422	1130
272	423	1128
273	424	1125
274	425	1122
275	426	1118
276	427	1116
277	428	1113
278	429	1110
279	430	1107
280	431	1104
281	432	1101
282	433	1098
283	434	1095
284	435	1092
285	436	1089
286	437	1087
287	438	1084
288	439	1081
289	440	1078
290	441	1075
291	442	1072
292	443	1070
293	444	1067
294	445	1065
295	446	1062
296	447	1059
297	448	1057
298	449	1054
299	450	1052
300	451	1049
301	453	1047
302	454	1044
303	455	1042
304	456	1039
305	457	1037
306	458	1035
307	459	1033
308	461	1030
309	462	1028
310	463	1026
311	464	1024
312	465	1022
313	466	1020
314	468	1017
315	469	1015
316	470	1013
317	471	1011
318	472	1008
319	473	1006
320	474	1004
321	475	1002
322	476	999
323	477	997
324	479	994
325	480	992
326	481	990
327	482	988
328	483	986
329	485	984
330	486	982
331	487	980
332	488	978
333	489	976
334	490	974
335	491	971
336	492	969
337	493	967
338	495	965
339	496	963
340	497	962
341	498	959
342	499	957
343	501	955
344	502	953
345	503	951
346	504	949
347	505	947
348	506	944
349	507	942
350	508	940
351	509	938
352	511	936
353	512	934
354	513	932
355	514	931
356	515	928
357	516	926
358	517	924
359	518	922
360	519	920
361	521	918
362	522	916
363	523	914
364	524	912
365	525	910
366	527	909
367	528	907
368	529	905
369	530	903
370	531	901
371	532	899
372	533	897
373	534	895
374	535	893
375	536	891
376	537	888
377	538	886
378	540	885
379	541	883
380	542	881
381	543	879
382	545	877
383	546	876
384	547	874
385	548	872
386	549	869
387	550	867
388	551	865
389	552	863
390	553	861
391	554	859
392	555	858
393	556	856
394	557	854
395	559	852
396	560	850
397	561	848
398	562	846
399	563	844
400	564	842
401	565	840
402	566	838
403	567	837
404	568	834
405	569	833
406	570	831
407	571	829
408	572	827
409	574	826
410	574	824
411	576	822
412	577	820
413	578	818
414	579	816
415	580	814
416	581	812
417	582	810
418	583	808
419	584	806
420	585	805
421	586	803
422	587	801
423	588	799
424	589	798
425	590	796
426	591	794
427	592	792
428	593	790
429	595	788
430	596	787
431	597	785
432	598	783
433	599	781
434	600	780
435	601	778
436	602	776
437	604	775
438	605	773
439	606	771
440	607	769
441	607	767
442	608	765
443	610	764
444	611	762
445	612	760
446	613	758
447	614	757
448	615	755
449	616	753
450	617	751
451	618	750
452	619	748
453	620	746
454	622	745
455	622	743
456	623	741
457	625	739
458	626	737
459	627	736
460	628	734
461	629	732
462	630	731
463	631	729
464	633	728
465	634	726
466	635	725
467	636	723
468	637	721
469	638	720
470	639	718
471	640	716
472	641	714
473	642	713
474	643	711
475	644	709
476	646	708
